# pop0 	 pop1 	 pop2 	 pop3 	 pop4 	 pop5 	 pop6 	 pop7 	 pop8 	 pop9
5.622666069370512165e-01	2.819075931693419412e-01	2.216541573262581222e-01	1.457764093269754424e-01	1.623319494596656698e-01	4.122611470988059024e-01	6.729505181260146962e-01	3.502514220544540868e-01	3.988028748868050477e-01	7.282137974721598628e-01
5.609631109768544732e-01	4.053654505805005526e-01	5.250260139113629432e-01	3.556751884239674477e-01	5.541864845421410335e-01	6.423118631115614097e-01	8.255107198990632167e-01	3.267051411804164918e-01	6.883007936879492750e-01	8.482246002228729376e-01
8.506924430490120370e-01	7.064200009958785387e-01	7.436543579442452812e-01	6.002637442045486438e-01	7.853097367485764035e-01	7.607622971958075686e-01	8.304219879009123728e-01	5.857641247332582290e-01	8.029331335667032610e-01	8.337766100954339121e-01
8.610225927185789496e-01	8.433072953938191008e-01	8.405576538087120575e-01	8.475356537445495331e-01	8.586470894130620035e-01	7.987999702006869374e-01	7.214928647587852684e-01	7.289299444093102487e-01	8.158594094768519822e-01	7.771020178645078325e-01
5.402178444033073346e-01	8.597714380961853919e-01	8.581854826438855000e-01	8.664013438240707465e-01	7.151306488612790835e-01	7.592975471016684130e-01	5.978597575788791030e-01	8.595618057257219391e-01	6.322226965720592062e-01	5.496008694341861789e-01
6.100147436903021747e-01	7.008289433311627459e-01	7.174376789422765022e-01	5.989128914460469799e-01	6.568497742888587121e-01	3.804831747631321481e-01	1.949493753645709926e-01	7.486165170883146702e-01	7.079630353979688984e-01	4.177927629121207520e-01
3.162862017032277984e-01	4.041412147027568791e-01	5.335336837707425062e-01	5.145547261891119106e-01	3.172495392329641728e-01	1.337836065263476315e-01	1.416000932753256891e-01	5.913444049288812954e-01	3.718191288015804674e-01	2.219573338676046059e-01
2.449631705097613799e-01	1.745912047527477529e-01	1.642402177860182722e-01	3.478197078280374499e-01	1.391404004640781622e-01	1.431304895912478559e-01	1.889733293300952799e-01	3.305024839175248474e-01	2.325097031431768713e-01	1.595565454376246251e-01
1.428172072425123174e-01	1.244796919157150350e-01	1.374596672150467380e-01	1.323416965781222254e-01	1.279034463376178266e-01	3.129164946927503466e-01	4.761159474525972768e-01	2.152501745246991893e-01	1.450540193599543504e-01	2.498314997522996239e-01
2.252502798718951094e-01	1.862740785091263895e-01	1.292222497759992761e-01	2.191033559405252962e-01	2.960198909127247924e-01	4.526368265400313451e-01	5.425507379188960755e-01	1.381718428683749167e-01	1.860563109982050767e-01	4.966117602705132916e-01
3.862978278628296236e-01	3.903174989528386263e-01	2.387471158944433347e-01	3.419375801375056922e-01	4.687292981897300259e-01	7.635873085229182289e-01	6.700781554171105769e-01	1.252005591659393346e-01	4.849127987013811536e-01	7.916509552892516677e-01
7.029465961530256823e-01	5.171899683996284969e-01	6.253948501509564162e-01	3.854282234152973108e-01	7.343127826082269660e-01	7.945547891323438972e-01	8.412299013585136098e-01	5.036665518105729600e-01	7.977070056507570284e-01	8.257066969559888614e-01
8.531689617093901612e-01	8.293680263030521749e-01	8.177062178190047659e-01	7.026934647091337416e-01	8.079551520293462019e-01	8.576844459614662020e-01	6.693010922931711404e-01	7.626253610998021681e-01	8.464961334364015100e-01	7.828270759644518906e-01
8.481579353598713844e-01	8.563436714324403898e-01	8.124448327029109018e-01	8.453909130618121326e-01	7.060826170498851750e-01	6.502321198935386848e-01	4.611585496694610709e-01	8.487880599002389781e-01	8.515845389887388706e-01	5.069224161513969928e-01
3.604397125688922343e-01	7.207200391315065069e-01	7.101756154162436330e-01	8.491012671524016397e-01	6.531767921775343266e-01	5.944511711892698225e-01	1.895627195193347603e-01	7.212356042830897485e-01	5.376949545391368490e-01	3.432558329481291692e-01
6.586614662305929624e-01	5.745734784418271568e-01	7.495126674105557774e-01	5.039974948147032396e-01	4.144937932706064254e-01	1.463620563979153300e-01	1.501821580113351928e-01	6.130709687130724284e-01	4.924343466586695861e-01	1.581790335208716480e-01
1.400827769822458879e-01	3.209277233968890197e-01	3.599855058352179338e-01	4.239841816470277802e-01	1.772887311340615168e-01	1.704395191221319550e-01	2.038548642672340649e-01	2.751143958498473152e-01	1.962932541110677664e-01	3.866533253964571926e-01
1.492962453085494579e-01	1.581615728836180679e-01	2.669557618361755869e-01	2.145436659678685576e-01	1.370396098977578747e-01	2.863122388748093883e-01	2.761068812429467445e-01	2.129193948561370064e-01	1.320974823561137657e-01	3.319865127852310027e-01
2.810549660358465096e-01	1.415454274102537491e-01	1.688137542880902842e-01	1.596383505889364118e-01	2.872305822346274407e-01	2.279813914614621517e-01	6.648966171079114806e-01	1.379749175028955333e-01	2.036440677215627659e-01	4.672700645270064235e-01
3.391686334141257309e-01	4.402531628445441880e-01	1.923045376159874809e-01	1.539559690414983861e-01	2.650823655709265703e-01	7.035615940856220218e-01	7.695331586872008467e-01	1.950570599236521041e-01	5.461395092364519366e-01	6.063905726573310950e-01
7.634669064893222501e-01	6.437992068763565001e-01	3.715884087736519015e-01	3.636896600163994631e-01	6.050734280592353631e-01	6.325229135536805103e-01	8.429398754986043851e-01	4.316553142205746818e-01	7.996078587693349338e-01	6.349198344180391196e-01
8.258455214277530265e-01	8.088501355295081297e-01	5.515216570398721041e-01	5.539705337533089580e-01	7.277450702976230312e-01	8.456730085666420704e-01	5.646341270599923856e-01	7.029313397412911835e-01	7.871016513561170935e-01	7.861504003138625185e-01
2.399893889127992230e-01	8.373954451493169637e-01	8.305697709333403900e-01	8.576785319621034187e-01	8.412940584170240932e-01	7.097800793662188967e-01	8.284670267367791885e-01	8.344118536681170983e-01	7.079916960049014163e-01	0.000000000000000000e+00
8.194884474418655529e-01	7.998260811130087911e-01	7.648199741866787971e-01	8.467010145594175974e-01	4.400806721270282273e-01	4.685911302357298469e-01	2.192588751611939668e-01	8.218679657636387414e-01	7.167373962547080035e-01	5.043878512932851166e-01
4.849546475612854235e-01	5.189232589338058643e-01	7.140766193412112495e-01	5.409430821010855484e-01	4.609255018388271896e-01	2.514752610798403065e-01	1.454299378270626775e-01	7.980861276625516032e-01	5.129043064550870001e-01	3.484524557818397539e-01
2.538842993377237178e-01	3.028216491681035571e-01	5.782406472029361089e-01	4.217901247386983132e-01	2.552975228347380554e-01	1.428581346246164396e-01	2.753873392520900798e-01	5.922664380942530560e-01	2.933513288133416941e-01	1.530781892788065923e-01
1.536738543244817179e-01	3.697509182606792399e-01	2.922520674155206222e-01	2.240151565808597423e-01	1.447935798282425079e-01	2.251699279987561531e-01	5.049570344481192352e-01	2.389262022962085896e-01	1.492615235584868749e-01	2.218999148888535777e-01
2.064383035790759158e-01	1.985012947945630768e-01	1.515732386763761208e-01	1.475618739825758641e-01	1.453649971617304026e-01	3.523441306688570029e-01	7.162804884831600605e-01	1.451894523839520057e-01	1.667370768119539881e-01	5.488036585333614381e-01
6.584046407905832510e-01	1.544596865989543710e-01	1.702063195600060364e-01	2.144580057899816705e-01	2.168931118824352633e-01	8.063880505054936698e-01	7.231452244911402705e-01	3.067129481322194984e-01	6.809173987137995265e-01	7.934256183860889378e-01
4.133481408265215484e-01	3.487045410058112194e-01	5.019777553430474493e-01	2.812361325934373824e-01	5.368454896874388371e-01	7.592175726130422353e-01	8.361301071669640095e-01	2.324295558785988702e-01	6.451402307748093090e-01	8.232656907938733504e-01
7.351810373409847221e-01	6.924259371670594687e-01	5.627879517415305122e-01	5.959663999246701538e-01	5.523827494325873610e-01	7.618852390559186505e-01	7.531508754742779477e-01	4.422453179024247172e-01	8.261954949644251256e-01	8.277055163357861511e-01
6.022943084018020921e-01	6.694611654402559120e-01	8.320137182137733456e-01	6.719458274838564504e-01	8.388979278306117893e-01	7.456848346362890956e-01	2.625012245083364060e-01	6.794142725741192379e-01	8.326092781057937708e-01	3.403602120373299678e-01
5.701212538198395796e-01	8.444422425511889374e-01	8.355203725172900553e-01	8.395503573464557778e-01	6.988371302408385999e-01	2.198421263706267503e-01	2.559672536352929906e-01	8.189486574907529626e-01	6.435217589119387460e-01	4.371394165918209840e-01
3.346194084144423764e-01	6.618852054768700199e-01	7.484329447967000837e-01	7.993588171499093065e-01	6.255537461800336763e-01	1.857069991887157212e-01	2.054763321045285085e-01	6.809583454584513529e-01	4.003959418723959107e-01	1.491964966955718341e-01
4.021165370465004107e-01	4.835871293863692189e-01	4.956228424173638181e-01	6.486124986870439590e-01	3.147586156477195640e-01	1.496478245192132128e-01	2.903673177042759290e-01	6.051862034243864485e-01	2.906774776081473832e-01	4.082240930070402674e-01
6.388214515303138885e-01	2.231766503194809736e-01	3.559629131391698342e-01	3.370584463919146234e-01	3.626278995782258319e-01	1.583597724310133459e-01	2.717016377654404846e-01	1.889430361191806462e-01	1.564145111654806630e-01	2.981822395348511789e-01
4.591700190739527176e-01	1.461292355043916080e-01	1.833185458913439703e-01	2.096465345647180178e-01	1.463352960445239992e-01	3.622792012353243662e-01	5.116122058214164214e-01	1.531036368337653775e-01	1.613904935785639982e-01	6.697894284489698258e-01
6.251114132804955759e-01	3.072920721897411944e-01	3.191203033471625705e-01	1.456489046435430201e-01	2.248624830190232848e-01	4.829205569870881898e-01	8.218448416232854159e-01	2.093297311754497292e-01	8.168382496387626146e-01	8.169571349693366402e-01
8.123845769874993294e-01	5.360774519870533661e-01	2.155039258191069340e-01	1.903278825026908372e-01	7.377709186173561084e-01	6.898627334602118744e-01	6.142972966367170606e-01	4.486642716383292817e-01	7.407352556711068736e-01	8.353000463719368884e-01
